keep,name,reviewCount,rating,googleType,address,categories,isIndoor,lat,lng,id
,"後藤象二郎寓居跡記念ギャラリー",5,4.2,"museum","京都市中京区大黒町５９−１０","culture",true,35.007866899999996,135.76950349999998,"ChIJiRw6XIQJAWARI9929souiLs"
,"ギャラリー礼",5,4,"art_gallery","京都市東山区林下町４３８−３","culture|photo",true,35.005697999999995,135.777517,"ChIJy49Nb8IIAWAR9CtXfBTfJjM"
,"ニャムカフェ",5,5,"cafe","京都市左京区田中下柳町７−２ かぜのね 1C","quiet|food",true,35.0299178,135.7737641,"ChIJV0PMHgEJAWARLFU0TcbFe6s"
,"miklo art gallery ミクロアートギャラリー",5,4.6,"art_gallery","京都市左京区田中関田町２−７ 思文閣会館 １Ｆ","culture|photo",true,35.02851460000001,135.777041,"ChIJ18NV18IJAWARVNIL6UJsUTw"
,"迷子",5,4.6,"cafe","京都市左京区浄土寺上南田町３６","quiet|food",true,35.025539699999996,135.7948257,"ChIJy6OidNMJAWARqzjzGBmSpEQ"
,"Plus81 Gallery - Kyoto",5,4.2,"art_gallery","１, 45-４５ 鹿ケ谷法然院町 左京区 京都市","quiet|food",true,35.0229296,135.79592590000001,"ChIJL0ysAlAJAWARxnW3CotFEmk"
,"Kai coffee&whisky",5,5,"food_store","京都市左京区浄土寺西田町１００−３９ モールビル ２F","night|food",true,35.0281868,135.7892871,"ChIJJ0yfcJIJAWARpXB4pbjVC5A"
,"コトバヨネット",5,5,"book_store","京都市左京区浄土寺馬場町７１","quiet|culture",true,35.0233017,135.7928,"ChIJx0q9IwMJAWAR6xpW_W6j0og"
,"ギャラリー黒壁ことりみゆき美術館",5,5,"art_gallery","京都市左京区浄土寺上馬場町３９−２","culture|photo",true,35.0252487,135.7902617,"ChIJ94ij6fYJAWARxqR50LUWPk4"
,"清宗記念館",5,4.6,"art_museum","京都市左京区北白川上別当町３−１","culture",true,35.0318623,135.7916857,"ChIJp-BLEAAJAWAREzQomVe1lmE"
,"Kathy's Kitchen",5,5,"food","京都市左京区田中東春菜町３２−２","food",true,35.0351778,135.7858067,"ChIJtYjKL1IIAWAR6UmAUq2-gCQ"
,"あおいろごはん",5,4.8,"meal_takeaway","京都市上京区古木町４０９","food",true,35.033668,135.7562949,"ChIJITBXiRIJAWAR8IdtrsD_8hg"
,"西陣舟橋 高師直邸宅跡",5,4.4,"historical_landmark","京都市上京区西船橋町","photo|culture",false,35.0298127,135.7514915,"ChIJIT7K5N8HAWARr3PV-vU0Qdk"
,"すずめ",5,4.8,"bar","京都市右京区嵯峨中通町18","night|food",true,35.0142647,135.687329,"ChIJW_QUweYHAWARXnKkQCshcfc"
,"嵯峨中山公園 平等寺故地",5,4,"park","京都市右京区嵯峨中山町９","nature|quiet",false,35.014440199999996,135.6851398,"ChIJ7eaVZNUHAWARQpJjfKgc7is"
,"中書島公園",5,4.2,"park","京都市伏見区葭島矢倉町３５−８","nature|quiet",false,34.9271866,135.76118409999998,"ChIJNcdOpPIPAWARzf0bXTJM8LA"
,"プチトマト",5,4.2,"cafe","京都市山科区大宅沢町９５","quiet|food",true,34.9694089,135.81769939999998,"ChIJizLi2GIOAWARtl4KnYY0wOc"
,"おばんざい舞川",5,5,"japanese_izakaya_restaurant","京都市山科区大宅御供田町６ 日宝サンフローラ一本道 BF1","food",true,34.9697351,135.8137279,"ChIJiSAWjp0PAWAR0C4FrU8E_pU"
,"薬医門",5,4.8,"buddhist_temple","京都市山科区小野御霊町３５−４４−３１","photo|culture",false,34.9592054,135.8160239,"ChIJJ0VZ-G4OAWARDe4torX88cE"
,"TAKAキューブ",6,5,"japanese_restaurant","京都市中京区中之町５７７","food",true,35.0044684,135.7683433,"ChIJkROJZbQJAWARZ9Sk9vtw7ew"
,"休憩所(四条小橋南)",6,4.8,"park","京都市下京区真町９０−５","nature|quiet",false,35.003479299999995,135.7704206,"ChIJy4ZrKREJAWARiqaU-PZE54A"
,"南広場",6,4.7,"park","京都市下京区東塩小路町京都駅ビル","nature|quiet",false,34.9858556,135.7587624,"ChIJbR1uTvMJAWARHuwIjKhbuyg"
,"祇をん 壱梅（旧祇をん貴々）",6,4.2,"bar","京都市東山区祇園町北側３２６−２","night|food",true,35.0044196,135.7771206,"ChIJ90ZHgQIJAWARvheq6_wdvvs"
,"清水坂観光駐車場 休憩所",6,4,"park","京都市東山区清水２丁目","nature|quiet",false,34.9961568,135.7802223,"ChIJzettDm4JAWARiVRCtGkATKM"
,"Kyoto Book Swap Free Library",6,4.8,"book_store","京都市東山区上柳町１９２−１ 光徳建設","quiet|culture",true,35.001323899999996,135.77183549999998,"ChIJJc_ZYgAJAWARW66EBZPNxMU"
,"Yozo Art Gallery 祇園",6,5,"art_gallery","京都市東山区祇園町南側５２６ 旅館東山ホテルガレージ 内","culture|photo",true,35.0026283,135.7771283,"ChIJ2-YVYKsJAWAR3wxxEvcr_iw"
,"暮靄書房",6,4.7,"book_store","京都市上京区寺町通今出川上る一真町６５ 桝形出町商店街 中川寺","quiet|culture",true,35.03022550000001,135.7683406,"ChIJw5qmKAAJAWARKj1zQi7wnJA"
,"井上書店",6,4.2,"book_store","京都市左京区田中門前町１００","quiet|culture",true,35.028707,135.781484,"ChIJ6wTFc1cIAWAR_nqFwD3pMe0"
,"Bar O'AXEL(ザクセル)",6,4.3,"bar","京都市左京区 北白川久保田町60-10 WINGSⅡ 地階","night|food",true,35.028749999999995,135.788245,"ChIJcTFchf8IAWARHLryhYwp8p8"
,"哲学の道ブルー",6,4.5,"art_gallery","京都市左京区浄土寺南田町１７３−５","culture|photo",true,35.023893699999995,135.79658999999998,"ChIJI2ybLRsJAWARUb9Jamm-KzE"
,"日本画体験処 絵まき",6,4.2,"art_gallery","京都市左京区浄土寺上馬場町３３","culture|photo",true,35.0249879,135.79047749999998,"ChIJGRdjDgIJAWARiqb-5Qdsn0I"
,"Nunuka life",6,4.5,"art_gallery","京都市左京区浄土寺南田町10","culture|photo",true,35.0260947,135.7963009,"ChIJ3RNOnIMJAWARO3il_kZevIA"
,"bar jaehoe (チェフェ)",6,4.8,"bar","京都市上京区寺之内通千本西五辻北町４５５ 2F","night|food",true,35.0341963,135.741433,"ChIJyUUU9u8HAWARaGO7wvb-ysg"
,"（有）西陣書院",6,4.7,"book_store","京都市上京区大宮通今出川観世町１４１","quiet|culture",true,35.0299484,135.7489305,"ChIJea67k-AHAWARSJFVGsqTFdg"
,"三盛堂書店",6,4.2,"book_store","京都市上京区笹屋町三丁目６３１","quiet|culture",true,35.0282572,135.7426298,"ChIJeZ1n1ecHAWARitPEoS3Bass"
,"獺祭書房",6,4.8,"book_store","京都市上京区室町通今出川裏築地町９４ エスペラント室町 １Ｆ","quiet|culture",true,35.0309311,135.757735,"ChIJkwqkdXMIAWAR-BYFFRQmeyU"
,"ギャラリーABRI/蓄音機Gallery Yu",6,5,"art_gallery","京都市北区紫野東藤ノ森町６−１７","culture|photo",true,35.0378092,135.74749889999998,"ChIJa0JkWgAHAWARd2qfUyteBZk"
,"京・おいもやさんの田中屋",6,4.3,"dessert_restaurant","京都市右京区嵯峨中ノ島町 官有地10","food",true,35.0120468,135.6797986,"ChIJTcxFHVUHAWARj8tEVQ3UYCE"
,"洛西用水",6,4.7,"historical_landmark","京都市西京区嵐山上河原町１−３","photo|culture",false,35.0110612,135.6785543,"ChIJyet79FQHAWARFVRVBF1ey70"
,"아라시야마 인력거",6,4.8,"tourist_attraction","京都市右京区嵯峨天龍寺芒ノ馬場町","photo|culture",false,35.0135419,135.6768482,"ChIJHciidgAHAWAR79JYOE8FJ38"
,"伏水 焼鉄",6,4.3,"japanese_restaurant","京都市伏見区平野町８２−２","food",true,34.9325,135.7605556,"ChIJDfAjxOUPAWAR22Eplwyh-Pk"
,"アポイント",6,4.8,"cafe","京都市山科区大宅神納町１３","quiet|food",true,34.9664974,135.8179463,"ChIJFSBisGQOAWARMHkGKjKORKM"
,"名神高速道路起工の地",6,4.8,"tourist_attraction","京都市山科区小野蚊ケ瀬町２","photo|culture",false,34.9642626,135.8124837,"ChIJEeYQWAAPAWARv6kytxoHq30"
,"コトチカ広場",7,4.3,"event_venue","京都市下京区東塩小路町コトチカ広場","photo|culture",false,34.9864751,135.7600027,"ChIJgwcRU9MJAWARnr7ca_WKerE"
,"長楽館ライブラリーバー マデイラ",7,4.9,"bar","京都市東山区円山町６０４","night|food",true,35.003143699999995,135.7800244,"ChIJeQmPBrIJAWARPj7RcayrSzg"
,"粟田坊町公園",7,4.3,"park","京都市東山区粟田口三条坊町１９−３","nature|quiet",false,35.0084532,135.7814565,"ChIJcddYve8JAWARXRB597qW0uc"
,"銀雅廊",7,4.9,"art_gallery","京都市東山区祇園町北側347番地48 クレェール祇園 1階A号室 ビル","culture|photo",true,35.0049999,135.7764909,"ChIJhbGLmvMJAWARRDNm3LA-4XI"
,"大雅堂旧跡",7,4.4,"historical_landmark","京都市東山区鷲尾町","photo|culture",false,35.0021073,135.7807803,"ChIJTwx4M9sIAWARAoGFgxQPPBk"
,"アガルタ",7,4.9,"bar","京都市左京区浄土寺西田町４−１","night|food",true,35.026284499999996,135.79098150000002,"ChIJg1Vz9AEJAWAR3zZwEnHe-z4"
,"gallery Biga",7,5,"art_gallery","京都市左京区浄土寺上南田町2番地","culture|photo",true,35.0247406,135.795359,"ChIJm5bi6pQJAWARm_lLPOuiUHw"
,"ドンク北白川店",7,4.1,"bakery","京都市左京区北白川山田町１−１","food",true,35.0345005,135.7913815,"ChIJvzAgXgAJAWAR2QPOrUftYjc"
,"法然院森のセンター",7,4,"tourist_attraction","京都市左京区鹿ケ谷法然院町７２−２","photo|culture",false,35.0233299,135.7966457,"ChIJraPNSQQJAWAR4wImWGDhMq4"
,"大宮書房",7,4.6,"book_store","京都市上京区室町通り上立売り裏築地町９８","quiet|culture",true,35.030617,135.7583,"ChIJ2X98o3MIAWARLR8HBCwABPY"
,"cafe&bar Milla",7,4.1,"cafe","京都市伏見区納屋町小路118番地 9号","quiet|food",true,34.9321889,135.7601278,"ChIJETYHyjcPAWARkJcBoVvoIs8"
,"MrSIS ー珈琲とフォカッチャとー",7,4.9,"cafe","京都市伏見区南部町85−１ プレザント京都・桃山 101","quiet|food",true,34.9334151,135.76067840000002,"ChIJq6IaDVoPAWARfldC4DOKNSA"
,"アトリエ悠",7,4.6,"art_gallery","京都市伏見区新町７丁目４６３−１","culture|photo",true,34.935327699999995,135.7632114,"ChIJlUStU1kPAWAR6S8g_KHWzmk"
,"宮道朝臣列子墓(宮道古墳)",7,4.1,"cemetery","京都市山科区勧修寺西栗栖野町","photo|culture",false,34.9703016,135.8053803,"ChIJ21W7CvQOAWARv5pfuWE-oto"
,"立ち呑みChoBORRACHO",8,4.9,"restaurant","京都市中京区裏寺町通四条中之町577ｰ14","food",true,35.00464240000001,135.7682635,"ChIJ7ylxCwAJAWARkMq0hG74qfI"
,"Bar Osome",8,4.5,"bar","京都市中京区中之町５７２ しのぶ会館 2階","night|food",true,35.004335399999995,135.768584,"ChIJweHG-6IJAWARQM-0O-WJnQs"
,"浄心寺",8,4.3,"buddhist_temple","京都市中京区裏寺町通四条裏寺町６０６−１ 606","photo|culture",false,35.0048473,135.7686507,"ChIJAQCQVZQIAWARcq6MvJjF8PA"
,"高島屋入口マリオの土管オブジェ",8,4.5,"tourist_attraction","京都市下京区四条通寺町御旅宮本町３３","photo|culture",false,35.0036716,135.76833249999999,"ChIJYZPuZQAJAWARbiw41-QBy6Y"
,"ぎゃらりぃ百之助",8,5,"art_gallery","京都市下京区平野町７６７−８","culture|photo",true,34.9906017,135.75671549999998,"ChIJsb-V3KAJAWARZEDkcQLm50w"
